ablation_only,backend_type,bottleneck_category,bottleneck_classes,concurrency,config_id,engine,evidence_match_rate,failed_metric_family,failed_slos,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,passed_slos,recommended_optimization_candidates,recommended_optimizations,requests_attempted,requests_completed,requests_failed,runtime,runtime_pass_quality_fail,safety_violation_count,slo_contract_validity,slo_evidence_match,slo_groundedness,slo_json_validity,slo_latency,slo_safety,slo_scope,slo_throughput,slo_tpot,slo_ttft,status,total_cost_usd,total_input_tokens,total_output_tokens,warning_slos,worth_optimizing
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_sglang_mm1_dense_top5_c32,sglang,0.71,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.71,1.0,2830.0421231542714,345.272827427958,62.42689605254046,675.6609572510934,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14679,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c16,sglang,0.7225,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7225,1.0,1948.0164122435963,487.8884166391222,47.28420747074754,291.06477024848573,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14790,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_sglang_mm2_hybrid_top5_c32,sglang,0.7225,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7225,1.0,2859.9086104519665,345.43266144702227,62.922599273536214,670.7513516303152,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14814,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c16,sglang,0.6775,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.6775,1.0,1946.3620763918152,490.7205930820837,49.303352680145046,253.153054213617,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14529,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_sglang_mm3_compressed_hybrid_top5_c32,sglang,0.685,contract_validity;evidence_match;groundedness;safety,4,0.7975,self_hosted_gpu,0.6825,1.0,2794.6883481089026,352.43790201823685,62.114812613292386,699.8136085754959,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14520,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;mm4_agentic_safety_trace_issue;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue,16,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c16,sglang,0.7025,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7025,1.0,2011.5020550141344,496.9891678212506,55.807500897898535,261.58939113025554,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;mm4_final_answer_guard;stronger_model_escalation,400,400,0,sglang,True,3,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,13152,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;mm4_agentic_safety_trace_issue;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue,32,self_hosted_model3_7b_sglang_mm4_bounded_agentic_c32,sglang,0.705,contract_validity;evidence_match;groundedness;safety,4,0.8025,self_hosted_gpu,0.705,1.0,2865.535932597122,365.37526645133323,72.55777343716444,575.115726577933,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;mm4_final_answer_guard;prefix_cache;stronger_model_escalation,400,400,0,sglang,True,3,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,13206,0,True
True,api_provider,contract_validity,api_specific_issue;generation_contract_failure;mm0_expected_no_context_failure;prompt_context_formatting_issue,4,api_model6_gated_api_provider_route_mm0_no_context_c4,api_provider_route,0.3025,contract_validity,1,0.7925,not_applicable_api_provider,0.3025,1.0,1061.8535621801857,394.49832189470044,17.983597730801783,740.4117799707456,mm0_no_context,model6_gated,meta-llama/Llama-3.1-8B-Instruct,6,generation_contract_prompt_repair,final_answer_contract_normalization;max_token_adjustment,400,400,0,api_provider_route,True,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0035283799999999994,156544,7950,0,False
False,api_provider,contract_validity;evidence_match;groundedness;safety,api_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,4,api_model6_gated_api_provider_route_mm1_dense_top5_c4,api_provider_route,0.93,contract_validity;evidence_match;groundedness;safety,4,0.8575,not_applicable_api_provider,0.7925,0.9975,1238.95907815604,736.5512904631538,12.960589146361258,750.1149011787493,mm1_dense_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,api_prompt_contract_normalization;citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,api_provider_route,True,6,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.007670110000000001,344463,15617,0,True
False,api_provider,contract_validity;evidence_match;groundedness;safety,api_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;prompt_context_formatting_issue;safety_wording_failure,4,api_model6_gated_api_provider_route_mm2_hybrid_top5_c4,api_provider_route,0.9325,contract_validity;evidence_match;groundedness;safety,4,0.87,not_applicable_api_provider,0.8075,0.9975,1217.8528671700042,750.2981343082068,12.333168753499525,751.2661108298926,mm2_hybrid_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,api_prompt_contract_normalization;citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup,400,400,0,api_provider_route,True,8,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.007676309999999997,344463,15741,0,True
False,api_provider,contract_validity;evidence_match;groundedness;safety,api_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,4,api_model6_gated_api_provider_route_mm3_compressed_hybrid_top5_c4,api_provider_route,0.9275,contract_validity;evidence_match;groundedness;safety,4,0.855,not_applicable_api_provider,0.79,0.995,1245.495520385448,738.5902462566618,12.732869047675049,766.8460466293618,mm3_compressed_hybrid_top5,model6_gated,meta-llama/Llama-3.1-8B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,api_prompt_contract_normalization;citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,api_provider_route,True,6,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.007669760000000001,344463,15610,0,True
False,api_provider,groundedness;safety,api_specific_issue;groundedness_failure;mm4_agentic_safety_trace_issue,4,api_model6_gated_api_provider_route_mm4_bounded_agentic_c4,api_provider_route,0.9525,groundedness;safety,2,0.99,not_applicable_api_provider,0.9425,1.0,1425.9549280651845,749.7762200177405,13.375215120339194,846.8804045516299,mm4_bounded_agentic,model6_gated,meta-llama/Llama-3.1-8B-Instruct,7,retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,api_prompt_contract_normalization;context_compression;evidence_selector_repair;mm4_final_answer_guard,400,400,0,api_provider_route,True,10,PASS,PASS,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.008112660000000002,362463,17268,0,True
