split,ablation_mode,memory_mode,record_count,airline,healthcare_admin,retail,finance,research_ai,output_path,validated
controlled_2000,prompt_text_only,mm0_no_context,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_text_only\mm0_no_context.jsonl,True
controlled_2000,prompt_text_only,mm1_dense_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_text_only\mm1_dense_top5.jsonl,True
controlled_2000,prompt_text_only,mm2_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_text_only\mm2_hybrid_top5.jsonl,True
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_text_only\mm3_compressed_hybrid_top5.jsonl,True
controlled_2000,prompt_plus_metadata,mm0_no_context,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_metadata\mm0_no_context.jsonl,True
controlled_2000,prompt_plus_metadata,mm1_dense_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_metadata\mm1_dense_top5.jsonl,True
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_metadata\mm2_hybrid_top5.jsonl,True
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_metadata\mm3_compressed_hybrid_top5.jsonl,True
controlled_2000,prompt_plus_source_hints,mm0_no_context,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_source_hints\mm0_no_context.jsonl,True
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_source_hints\mm1_dense_top5.jsonl,True
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_source_hints\mm2_hybrid_top5.jsonl,True
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,2000,400,400,400,400,400,data\workloads\controlled_2000\prompt_plus_source_hints\mm3_compressed_hybrid_top5.jsonl,True
final_10000,prompt_text_only,mm0_no_context,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_text_only\mm0_no_context.jsonl,True
final_10000,prompt_text_only,mm1_dense_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_text_only\mm1_dense_top5.jsonl,True
final_10000,prompt_text_only,mm2_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_text_only\mm2_hybrid_top5.jsonl,True
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_text_only\mm3_compressed_hybrid_top5.jsonl,True
final_10000,prompt_plus_metadata,mm0_no_context,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_metadata\mm0_no_context.jsonl,True
final_10000,prompt_plus_metadata,mm1_dense_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_metadata\mm1_dense_top5.jsonl,True
final_10000,prompt_plus_metadata,mm2_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_metadata\mm2_hybrid_top5.jsonl,True
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_metadata\mm3_compressed_hybrid_top5.jsonl,True
final_10000,prompt_plus_source_hints,mm0_no_context,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_source_hints\mm0_no_context.jsonl,True
final_10000,prompt_plus_source_hints,mm1_dense_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_source_hints\mm1_dense_top5.jsonl,True
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_source_hints\mm2_hybrid_top5.jsonl,True
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,10000,2000,2000,2000,2000,2000,data\workloads\final_10000\prompt_plus_source_hints\mm3_compressed_hybrid_top5.jsonl,True
