split,ablation_mode,memory_mode,vertical,record_count,failure_count,recall_at_5,mrr,candidate_recall_at_100,candidate_vs_final_recall_gap,primary_root_cause,primary_root_cause_count,root_cause_counts_json,recommended_fix_area,top_recommended_fix,candidate_retrieval_blocker,reranking_blocker,prompt_gold_repair_required,slo_target,slo_margin,slo_status
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,airline,2000,1148,0.7065,0.936125,0.761042,0.054542,gold_in_candidates_not_final_top5,29,"{""gold_in_candidates_not_final_top5"": 29}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.0935,FAILED
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,finance,2000,1478,0.28075,0.174333,0.82075,0.54,prompt_missing_period,1478,"{""gold_absent_from_candidate_pool"": 306, ""gold_in_candidates_not_final_top5"": 1091, ""prompt_missing_metric"": 1478, ""prompt_missing_period"": 1478, ""reranker_miscalibrated"": 1091}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",False,True,True,0.8,-0.51925,FAILED
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,healthcare_admin,2000,761,0.794333,0.936125,0.816333,0.022,gold_absent_from_candidate_pool,16,"{""gold_absent_from_candidate_pool"": 16, ""gold_in_candidates_not_final_top5"": 4}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.8,-0.005667,FAILED
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,research_ai,2000,950,0.641715,0.618225,0.866486,0.224771,gold_in_candidates_not_final_top5,315,"{""gold_absent_from_candidate_pool"": 152, ""gold_in_candidates_not_final_top5"": 315}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.158285,FAILED
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,retail,2000,1626,0.221583,0.248417,0.924667,0.703084,gold_in_candidates_not_final_top5,1488,"{""gold_absent_from_candidate_pool"": 2, ""gold_in_candidates_not_final_top5"": 1488, ""reranker_miscalibrated"": 1488}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.578417,FAILED
final_10000,prompt_plus_source_hints,mm1_dense_top5,airline,2000,799,0.812958,0.978,0.825833,0.012875,gold_absent_from_candidate_pool,28,"{""gold_absent_from_candidate_pool"": 28}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,-0.137042,FAILED
final_10000,prompt_plus_source_hints,mm1_dense_top5,finance,2000,351,0.84025,0.850333,0.8405,0.00025,gold_absent_from_candidate_pool,289,"{""gold_absent_from_candidate_pool"": 289}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,-0.10975,FAILED
final_10000,prompt_plus_source_hints,mm1_dense_top5,healthcare_admin,2000,753,0.771917,0.8829,0.780833,0.008916,gold_absent_from_candidate_pool,131,"{""gold_absent_from_candidate_pool"": 131, ""gold_in_candidates_not_final_top5"": 19}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,-0.178083,FAILED
final_10000,prompt_plus_source_hints,mm1_dense_top5,research_ai,2000,161,0.962013,0.98,0.971813,0.0098,unknown,161,"{""unknown"": 161}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.012013,PASSED
final_10000,prompt_plus_source_hints,mm1_dense_top5,retail,2000,409,0.891917,0.9905,0.894167,0.00225,gold_absent_from_candidate_pool,15,"{""gold_absent_from_candidate_pool"": 15, ""gold_in_candidates_not_final_top5"": 4}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,-0.058083,FAILED
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,airline,2000,162,0.979042,0.99275,1.0,0.020958,unknown,162,"{""unknown"": 162}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.029042,PASSED
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,finance,2000,6,0.997375,0.991833,0.9975,0.000125,gold_absent_from_candidate_pool,5,"{""gold_absent_from_candidate_pool"": 5}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,0.047375,PASSED
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,healthcare_admin,2000,155,0.962417,0.943083,1.0,0.037583,unknown,155,"{""unknown"": 155}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.012417,PASSED
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,research_ai,2000,133,0.966893,0.98,0.98,0.013107,unknown,133,"{""unknown"": 133}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.016893,PASSED
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,retail,2000,231,0.942,0.9985,0.95225,0.01025,gold_in_candidates_not_final_top5,1,"{""gold_in_candidates_not_final_top5"": 1}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.95,-0.008,FAILED
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,airline,2000,162,0.979042,0.99275,1.0,0.020958,unknown,162,"{""unknown"": 162}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.029042,PASSED
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,finance,2000,6,0.997375,0.991833,0.9975,0.000125,gold_absent_from_candidate_pool,5,"{""gold_absent_from_candidate_pool"": 5}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.95,0.047375,PASSED
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,healthcare_admin,2000,155,0.962417,0.943083,1.0,0.037583,unknown,155,"{""unknown"": 155}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.012417,PASSED
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,research_ai,2000,133,0.966893,0.98,0.98,0.013107,unknown,133,"{""unknown"": 133}",candidate retrieval,Inspect sampled failures and improve candidate retrieval before another optimization pass.,True,False,False,0.95,0.016893,PASSED
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,retail,2000,231,0.942,0.9985,0.95225,0.01025,gold_in_candidates_not_final_top5,1,"{""gold_in_candidates_not_final_top5"": 1}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.95,-0.008,FAILED
final_10000,prompt_text_only,mm1_dense_top5,airline,2000,1475,0.556083,0.768958,0.605833,0.04975,weak_dense_similarity,1381,"{""gold_absent_from_candidate_pool"": 192, ""gold_in_candidates_not_final_top5"": 94, ""weak_dense_similarity"": 1381}",embedding model/vector index,Improve embedding/indexed text and lexical expansion for strict ablation modes.,True,False,False,0.7,-0.143917,FAILED
final_10000,prompt_text_only,mm1_dense_top5,finance,2000,1711,0.153125,0.091133,0.536,0.382875,prompt_missing_period,1711,"{""gold_absent_from_candidate_pool"": 891, ""gold_in_candidates_not_final_top5"": 782, ""prompt_missing_metric"": 1711, ""prompt_missing_period"": 1711, ""reranker_miscalibrated"": 782, ""weak_dense_similarity"": 929}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",True,False,True,0.65,-0.496875,FAILED
final_10000,prompt_text_only,mm1_dense_top5,healthcare_admin,2000,839,0.732083,0.834925,0.76,0.027917,gold_absent_from_candidate_pool,175,"{""gold_absent_from_candidate_pool"": 175, ""gold_in_candidates_not_final_top5"": 45}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.7,0.032083,PASSED
final_10000,prompt_text_only,mm1_dense_top5,research_ai,2000,1710,0.29269,0.2697,0.758779,0.466089,gold_in_candidates_not_final_top5,673,"{""gold_absent_from_candidate_pool"": 398, ""gold_in_candidates_not_final_top5"": 673, ""reranker_miscalibrated"": 673}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.7,-0.40731,FAILED
final_10000,prompt_text_only,mm1_dense_top5,retail,2000,1793,0.134083,0.114783,0.540083,0.406,weak_dense_similarity,898,"{""gold_absent_from_candidate_pool"": 773, ""gold_in_candidates_not_final_top5"": 895, ""reranker_miscalibrated"": 895, ""weak_dense_similarity"": 898}",embedding model/vector index,Improve embedding/indexed text and lexical expansion for strict ablation modes.,False,True,False,0.7,-0.565917,FAILED
final_10000,prompt_text_only,mm2_hybrid_top5,airline,2000,1172,0.691417,0.941442,0.744208,0.052791,gold_absent_from_candidate_pool,27,"{""gold_absent_from_candidate_pool"": 27, ""gold_in_candidates_not_final_top5"": 5}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.7,-0.008583,FAILED
final_10000,prompt_text_only,mm2_hybrid_top5,finance,2000,1691,0.163,0.099108,0.574375,0.411375,prompt_missing_period,1691,"{""gold_absent_from_candidate_pool"": 810, ""gold_in_candidates_not_final_top5"": 845, ""prompt_missing_metric"": 1691, ""prompt_missing_period"": 1691, ""reranker_miscalibrated"": 845, ""weak_dense_similarity"": 846}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",False,True,True,0.65,-0.487,FAILED
final_10000,prompt_text_only,mm2_hybrid_top5,healthcare_admin,2000,708,0.807583,0.96665,0.823833,0.01625,gold_absent_from_candidate_pool,16,"{""gold_absent_from_candidate_pool"": 16, ""gold_in_candidates_not_final_top5"": 4}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.7,0.107583,PASSED
final_10000,prompt_text_only,mm2_hybrid_top5,research_ai,2000,1730,0.275987,0.250642,0.760779,0.484792,gold_in_candidates_not_final_top5,706,"{""gold_absent_from_candidate_pool"": 405, ""gold_in_candidates_not_final_top5"": 706, ""reranker_miscalibrated"": 706}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.7,-0.424013,FAILED
final_10000,prompt_text_only,mm2_hybrid_top5,retail,2000,1774,0.161167,0.134342,0.593667,0.4325,gold_in_candidates_not_final_top5,927,"{""gold_absent_from_candidate_pool"": 651, ""gold_in_candidates_not_final_top5"": 927, ""reranker_miscalibrated"": 927, ""weak_dense_similarity"": 847}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.7,-0.538833,FAILED
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,airline,2000,1172,0.691417,0.941442,0.744208,0.052791,gold_absent_from_candidate_pool,27,"{""gold_absent_from_candidate_pool"": 27, ""gold_in_candidates_not_final_top5"": 5}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.7,-0.008583,FAILED
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,finance,2000,1691,0.163,0.099108,0.574375,0.411375,prompt_missing_period,1691,"{""gold_absent_from_candidate_pool"": 810, ""gold_in_candidates_not_final_top5"": 845, ""prompt_missing_metric"": 1691, ""prompt_missing_period"": 1691, ""reranker_miscalibrated"": 845, ""weak_dense_similarity"": 846}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",False,True,True,0.65,-0.487,FAILED
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,healthcare_admin,2000,708,0.807583,0.96665,0.823833,0.01625,gold_absent_from_candidate_pool,16,"{""gold_absent_from_candidate_pool"": 16, ""gold_in_candidates_not_final_top5"": 4}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.7,0.107583,PASSED
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,research_ai,2000,1730,0.275987,0.250642,0.760779,0.484792,gold_in_candidates_not_final_top5,706,"{""gold_absent_from_candidate_pool"": 405, ""gold_in_candidates_not_final_top5"": 706, ""reranker_miscalibrated"": 706}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.7,-0.424013,FAILED
final_10000,prompt_text_only,mm3_compressed_hybrid_top5,retail,2000,1774,0.161167,0.134342,0.593667,0.4325,gold_in_candidates_not_final_top5,927,"{""gold_absent_from_candidate_pool"": 651, ""gold_in_candidates_not_final_top5"": 927, ""reranker_miscalibrated"": 927, ""weak_dense_similarity"": 847}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.7,-0.538833,FAILED
